mysql> select distinct
    ->     word_num as w,
    ->     (select count(*) from
    ->             annot
    ->         inner join
    ->             annot_target
    ->         on
    ->             annot.id = annot_target.annot_id
    ->     where
    ->         target.id = annot_target.target_id) as nn
    -> from
    ->     target
    -> order by
    ->     word_num
    -> ;
+--------+------+
| w      | nn   |
| 158802 |    1 |
| 158815 |    1 |
| 158816 |    1 |
| 158821 |    1 |
| 158822 |    1 |
| 158825 |    1 |
| 158827 |    1 |
| 158828 |    1 |
| 158834 |    1 |
| 158923 |    1 |
| 158924 |    1 |
| 158925 |    1 |
| 159082 |    1 |
| 159086 |    1 |
| 159087 |    1 |
| 159977 |    1 |
| 159978 |    1 |
| 159979 |    1 |
| 159980 |    1 |
| 160049 |    1 |
| 160050 |    1 |
| 160051 |    1 |
| 160070 |    1 |
| 160071 |    1 |
| 160072 |    1 |
| 160179 |    1 |
| 160180 |    1 |
| 160181 |    1 |
| 160182 |    1 |
| 160199 |    1 |
| 160200 |    1 |
| 160201 |    1 |
| 160202 |    1 |
| 160730 |    1 |
| 160732 |    1 |
| 160733 |    1 |
| 160734 |    1 |
| 160852 |    1 |
| 160853 |    1 |
| 160854 |    1 |
| 160857 |    1 |
| 160955 |    1 |
| 160956 |    1 |
| 160957 |    1 |
| 160958 |    1 |
| 160959 |    1 |
| 161218 |    1 |
| 161219 |    1 |
| 161220 |    1 |
| 161626 |    1 |
| 161628 |    1 |
| 161629 |    1 |
| 161636 |    1 |
| 161835 |    1 |
| 161836 |    1 |
| 161838 |    1 |
| 161839 |    1 |
| 161952 |    1 |
| 161953 |    1 |
| 161954 |    1 |
| 162397 |    1 |
| 162398 |    1 |
| 162561 |    1 |
| 162562 |    1 |
| 162564 |    1 |
| 162596 |    1 |
| 162597 |    1 |
| 162600 |    1 |
| 162610 |    1 |
| 162611 |    1 |
| 162613 |    1 |
| 164066 |    1 |
| 164067 |    1 |
| 164068 |    1 |
| 164076 |    1 |
| 164077 |    1 |
| 164080 |    1 |
| 164257 |    1 |
| 164258 |    1 |
| 164260 |    1 |
| 165168 |    1 |
| 165169 |    1 |
| 165171 |    1 |
| 165500 |    1 |
| 165501 |    1 |
| 165504 |    1 |
| 165791 |    1 |
| 165796 |    1 |
